text,label
mengerti jalan pikiran anies baswedan mengelabui masyarakat rela kebohongan publik sosok tukang ngibul dijadikan pemimpin masyarakat indonesia,3
ndak yen undangan model model lambe lamis,1
abis sebar hoax hapus ganti konten haji astaghfirulloh,1
metro tv membalikan fakta surya palo yg lgi bingung mencari wakil aniss,1
relawannya cukong,2
haji bikin konten pencitraan na udzubillah tsumma na udzubillahi min dzalik,1
hebat nya anies baswedan siapun yg pidato orasi ujung nya prestasi amp rekam jejak alhamdulillah patut syukuri krn rekam jejak anies baswedan dibanding calon laen,2
kaum kadrun hitunganx emang yg ngaku nasabx nabi saw gak takut aza dna yahudi krn nasi ayo to klo ngapusi,1
relawan ganjar galang dana masyarakat yg terkena dampak musibah warga yg ga kasihan ga berbagii yaa,1
hoax banget abah,1
wuuaahh modal editan kalimat nipu sorak sorai doonk,1
begituan laku fesbuk banjir tepuk tangan,1
yg ngeri ga,1
kalok tampilkan cuplikan bait bait kotor si butet timpali pantun dr om nardji bacalegnya hahaha,1
klo yg nipu ga,1
biar perubahan membumi idealnya bikin acara tandingan release cawapresnya pelawak nardji obral pantun lawan kotor butet yg ngakak habis donasi utk modal kampanye urraa,2
nipu ga,1
skripsinya nipu,2
bukti nyata betapa becusnya anies baswedan gubernur jakarta kebanyakan konsep pelaksanaannya hancur,1
gibran tuhh lg gbk,2
ngeri junjungannya jinjingan,2
lo mn pengawal kerajaann nya kt nya kawal,1
org benci kali anis,1
layla pamitnya laki pengecut adlah diam menghilang majnun bertamu rumah mengucap salam dibukain pintu pamitan,1
masak kepalanya gede tp badanya krempeng tukang editnya ga berkzlass,1
editan it kpl anis kek gtu lehernya,2
ga tau ya kalo relawan ganjar galang dana sembako bagikan warga kasihan jarang sedekah ya,2
gu anies baswedan cerdas daerah mencukupi kebutuhan pokok warganya jakarta layak presiden,3
duh pejabat minim prestasi ibadah aja publish,2
anies r pemimpin santun berakhlak senangi lawan politiknya yg takuti tersaingi takut terbongkar bobroknya takut terbongkar kelicikannya indonesia butuh pemimpin pekerja keras santu berakhlak yg suka anies baswedan capres salam damai,3
pembangunan berkesinambungan,2
pembangunan berlanjut,2
langsung dibantah loreng,1
anies baswedan ya,2
labaik allahumma labaik labaika laa syarika laka labaik innal hamba wa ni mata laka wal mulk laa syarika laka,1
ngeri ya sembako darima duitnya,2
duitnya,2
yg pendengki anies,3
eh kafir urusin tuhan lo yg kaya tarzan ngegantung kayu,2
ganjar,2
metro group berubah total tdk lg bos mu biarlah oposisi tp media hrnya netral,1
alhamdulillah puji syukur kehadirat allah swt yg akal sehat kpd utk nalar spt sdra dr sragen jawa,3
pantes penerima kjp mengeluhkan dana bantuan anaknya kunjung cair amp salah sekolah input dana pendidikan dibilang pemda dana,1
kedai kopi lembaga survey bohirnya jubir anies dbikin memuaskan pendukungnya nantu aian dbuat hasil survey rakyat perubahan,2
pendukung anies kreatif krn kemampuan hny sebatas tukang hoax,1
nunggu diahokkan polanya jaman dki,1
dihh hak ny elu si telf gu dki pncitraan aj lu prcuma dki jkt dkung nya aniesbaswedan yg tlh bnyk bukti nyta ga bnyk ngmong pncitraan ky km mas,1
low sbg rakyat domisili jkt utk condong bpk anies,3
parah sih,1
nih kallaau yanng lihat editan nih beliau bilang rusak reputasi ku kallaau ngedit yg kurus,1
gagasan opo nies bikin lubang sumur resapan,1
namanya ko merendahkan pancasila,2
ga adu prestasi adu gagasan menghina memfitnah yuk naikin tagar nya indonesia butuh perubahan presiden anies baswedan,3
doa tulus rakyat bangsa negara indonesia orang dijadikan musuh penjilat koruptor berselimut kekuasaan allah menjaga dimanapun beliau,3
mending ente pulang memalukan gak puas kampanye masjid indonesia ditanah suci ente kampanye,2
bangke,2
metro provokator sumber berita seimbang hadeeh,1
selamat tim kreatif fedi nuril tidur subuh sutradara film anies baswedan judul senyum manies love story memimpin kegiatan pra produksi film inspiratif,1
nih wilayahnya banjir ojo mlaku mlaku,1
waduuh mas mbalelo,2
ngibulmu tu lho,1
pemimpin yg tulus semoga dimudahkan dilancarkan dijauhkan kedholiman utk presiden ri,3
anies haji imam cabul dr petamburan umroh tamu raja salman sejarah berulang dng cepat kadrun,1
anis gak in udah kalah,2
reaksi cepat pilih anies baswedan presiden indonesia,3
to stress ya alergi banget menang,2
alam merestui anies baswedan,3
hh setingan foto raja salman hh bpk,1
setan aja ajak kerja nafsu berkuasa,2
dibranding harapan maksud mu presiden modal branding bacapres branding ya,2
insyaallah ttp dgn menjaga doa koreksi njih amin,3
prabowo menang putaran krn dulang suara disusul ganjar capres,2
badan putih tangan item banget y,1
kemana gak bawa kamera bisanya berbohong sempet sempetnya pencitraan hati hati ditanah suci pake ihram,1
malaikat menuntut pertanggungjawaban bacotan penipu insyaallah,1
ngk yg yg terlibat ektp mandalika yg yg melibatkan kder nasdem bank jateng ngk periksa penyampaian penyidik kpk yg pecat anis bersih,1
pengawalan kerajaan,2
buzzernya yg ajak non,1
butet bicara lantang spt bukti sj memfitnah,1
so hati video dugaan ijasah pa lurah berbau busuk alias palsu tp yg bikin pa lurah berhentikan anies baswedan viral bbrp media bhw pa lurah ga kuat nahan tekanan dr laen yg meresa berjasa pemenangan pilpres,3
anis menang poling krn pks buzzernya nkri,1
maklumi disebelah tekanan balas kelakuan buruk doa semoga timnya prabowo contoh berkampanye,2
lho bawa anis menganggap saingan pilpres saingan ganjar prabowo krn yg maju putaran jd gr,2
wkwkwk lucu memenya tp mandalika gak bermasalah kayak formula e jgn takabur berproses kpk lho adakah lpj nya yg nunggu tuh mosok sampe mengebiri hak interpelasi yg hak konstitusional anggota dewan hadeuh,1
alasan pilih ganjar prabowo pilih anies baswedan kak,3
orang yg disekitarnya niat ibadahnya udah rusak gara hape,1
kalo editan asli,2
ente sewot ya buzzerrp ya,2
kasihan lo masak membayangkan hh pungguk merindukan setingannya bagus broo hh,1
biarkan tangan tuhan balas jasa dibantu sang emak biarkan alam ttp semangat indonesia abaikan cacian fitnah hinaan hujatan tuhan manusia menerima,2
suudzon mulu lu semoga hidayah,2
foto aslinya,1
ayo bikin acara tandingan release cawapresnya pelawak nardji dr obral pantunnya lawan yg ketawa ngakak donasi utk support dana kampanye biar seru lelang bait pantun hahaha,1
cebong bipang cebong bokep cebong fir aun kejang yg bikin fitnah kau bokep,1
orang anis yg nyuruh,1
undangan raja saudi pengawalan wan,1
gak ngawur ya ngibul kontribusi tambahan yg diperjuangkan pemprov dki jaman ahok turun mengikuti kemauan dpr teriak bkn boneka partai aelah,2
aamiin ya allah kabulkan harapan mulia hamba allah semoga sehat dilindungi allah tersolusikan terbaik via orang pilihan terbaik allah aamiin yaa robbal aalaamiin,3
